ATCvet,Dosageform,Genericname,Legalstatus,Manufacturername,Packagetype,Productcontrol,Routeofadministration,Storageconditions,Strengthvalue,Targetanimals,Tradename,Type,Unitofstrength ,Unitofvolume,Volume,_id
QJ01CA04,Powder for oral solution,Amoxicillin Trihydrate,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Chicken, Turkey",Amoxin,meat,mg/g  ,g,100,63283c50428ed1b232dba8e1
QJ01CA04,Powder for oral solution,Amoxicillin Trihydrate,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Chicken, Turkey",Amoxin,meat,mg/g  ,g,1000,63283c50428ed1b232dba8e2
QJ01CA04,Powder for oral solution,Amoxicillin Trihydrate,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,500,"Poultry, Calves",Medamox WSP,meat,mg/g  ,g,100,63283c50428ed1b232dba8e3
QJ01CA04,Powder for oral solution,Amoxicillin Trihydrate,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,500,"Poultry, Calves",Medamox WSP,meat,mg/g  ,g,1000,63283c50428ed1b232dba8e4
QM01AE03,solution for injection,Ketoprofen,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,100,"Cattle, Horse",Ainil,meat,mg/ml,ml,50,63283c50428ed1b232dba8e5
QM01AE03,solution for injection,Ketoprofen,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,101,"Cattle, Horse",Ainil,meat,mg/ml,ml,100,63283c50428ed1b232dba8e6
QJ01CA04,solution for injection,Amoxicillin Trihydrate,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,,Store below 30°C,150,"cattle, Sheep, Dogs, Cats",Invemox 15% L. A,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8e7
QP51AJ01,Oral solution,Toltrazuril,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,25,Poultry: Broiler and Broiler Breeders,Toltavet,meat,mg/ml,ml,1000,63283c50428ed1b232dba8e8
QP51AJ01,Oral solution,Toltrazuril,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,25,Poultry: Broiler and Broiler Breeders,Toltavet,meat,mg/ml,ml,500,63283c50428ed1b232dba8e9
,Premix,Chlortetracycline Hydrochloride ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Mixed with feed.  ,Store below 30°C,250,"Chickens, Turkeys and ducks. ",Chlortetravet,meat,mg/g  ,g,1000,63283c50428ed1b232dba8ea
,Premix,Chlortetracycline Hydrochloride ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Mixed with feed.  ,Store below 30°C,250,"Chickens, Turkeys and ducks. ",Chlortetravet,meat,mg/g  ,g,500,63283c50428ed1b232dba8eb
,Premix,Chlortetracycline Hydrochloride ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Mixed with feed.  ,Store below 30°C,250,"Chickens, Turkeys and ducks. ",Chlortetravet,meat,mg/g  ,g,100,63283c50428ed1b232dba8ec
,Powder for oral solution,Sulphadimidine Sodium,Prescription,Pioneers for Veterinary & Agricultural Medicines Industrial Co,jar,Uncontrolled,Oral,Store below 30°C,1000,"Poultry, cattle",Pio-Sulphadine 100%,"meat, milk",mg/g  ,g,100,63283c50428ed1b232dba8ed
,solution for injection,Calcium Boroglucounate,Prescription,KELA LABORATORIA,Bottle,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,300,"Cattle , sheep",Calci-Kel 300 ,,mg/ml,ml,500,63283c50428ed1b232dba8ee
QJ01GB03,solution for injection,Gentamicin Sulphate ,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,50,"Cats, Dogs,  Horses  and  intrauterine  for mares",Genta-Kel 05,,mg/ml,ml,100,63283c50428ed1b232dba8ef
,Oral solution,"Vitamin E, Sodium selenite",Prescription,Interchemie Werken “De Adelaar” B.V.,Bottle,Uncontrolled,Oral,Store below 25°C,"100, 1",poultry,Introvit-ES-100 oral,,mg/ml,ml,1000,63283c50428ed1b232dba8f0
,solution for injection,"Vitamin B1, Vitamin B2, Vitamin B12, Vitamin B6, Nicotinamide, Vitamin C",Prescription,Alfasan International BV,Vial,Uncontrolled,,Store below 25°C,,"Horse, Cattle, Calves, Foals, Dogs, Cats",Vitamine B complex Alfasan,,,ml,100,63283c50428ed1b232dba8f1
,Oral powder,"Sodium carbonate,  Sodium chloride, Potassium chloride",Prescription,Interchemie Werken “De Adelaar” B.V.,Bottle,Uncontrolled,Oral,Store below 25°C,"100, 100, 60","Sheep, Goats ",Electromix,,mg,g,1000,63283c50428ed1b232dba8f2
QJ01CE09,Suspension for injection,Procaine benzylpenicillin,Prescription,KELA LABORATORIA,Vial,Uncontrolled,,Store in a refrigerator (2°C – 8°C),"300,000","Horse, Cattle, Sheep ,Goat , Dogs ,Cats ",Peni 30 MIO ,"meat, milk",IU/ml,ml,100,63283c50428ed1b232dba8f3
QP54AA01,solution for injection,Ivermectin ,Prescription,Alfasan International BV,Vial,Uncontrolled,,Store below 25°C,10,"Cattle, Sheep, Goats and Camels",Alfamec  1%  Pro Inj.,meat,mg/ml,ml,50,63283c50428ed1b232dba8f4
QC03CA01,solution for injection,Furosemide ,Prescription,Alfasan International BV,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,50,"Cattles, Cats, Dogs, Horses ",Furosemide 5%,,mg/ml,ml,50,63283c50428ed1b232dba8f5
QA03BA01,solution for injection,Atropine Sulphate,Prescription,Alfasan International BV,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,1,"Cattle, Horse, Cats, Dogs",Atropine 0.1 %,,mg/ml,ml,50,63283c50428ed1b232dba8f6
,solution for injection,Ketamine hydrochloride,Prescription,Alfasan International BV,Vial,Controlled,,Store below 25°C,100,"Dog , Cat",Ketamine 10 % ,,mg/ml,ml,10,63283c50428ed1b232dba8f7
,Suspension for injection,Copper methionate,Prescription,Ballinskellings Veterinary Product,Vial,Uncontrolled,,Store below 25°C,20,"Cattle , sheep ",BVP copper injection,meat,mg/ml,ml,100,63283c50428ed1b232dba8f8
,Suspension for injection,"Copper methionate, Vitamin B12",Prescription,Ballinskellings Veterinary Product,Vial,Uncontrolled,,Store below 25°C,"20, 1","Cattle , sheep ",BVP Copper with Vitamin B12 injection,meat,mg/ml,ml,100,63283c50428ed1b232dba8f9
QM01AA01,solution for injection,Phenylbutazone,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intravenous (not otherwise specified),Do not store above 30°C,200,"Horse, Dog ",Phenylbutazone 20% ,,mg/ml,ml,100,63283c50428ed1b232dba8fa
QJ51CE59,Suspension for injection,"Benzathine benylpenicillin, Procaine benzylpenicillin",Prescription,Alfasan International BV,Vial,Uncontrolled,,Store below 25°C,"150,000 , 150,000","Horses, Cattle, Sheep, Cats, Dogs",Alfacilline 15/15 LA,"meat, milk",IU/ml,ml,100,63283c50428ed1b232dba8fb
,solution for injection,Dexamethasone Sodium Phosphate,Prescription,Alfasan International BV,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,2,"Horse, Cattle, Goats, Cats , Dogs ",Dexamethasone ,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8fc
QJ01CE09,Suspension for injection,Procaine benzylpenicillin,Prescription,Alfasan International BV,Vial,Uncontrolled,,Store below 25°C,"300,000","Cattle, horses, sheep, goat, cats , dogs",Procpen 30,"meat, milk",IU/ml,ml,100,63283c50428ed1b232dba8fd
,solution for injection,Menadione sodium bisulphate,Prescription,Alfasan International BV,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,10,"Cattle, Horse, Cats, Dogs",Vitamin K,,mg/ml,ml,10,63283c50428ed1b232dba8fe
QJ01AA02,Oral powder,Doxycycline Hydrochloride,Prescription,Interchemie Werken “De Adelaar” B.V.,jar,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Calves, Sheep, Goat",Doxy ws,meat,mg/g  ,g,1000,63283c50428ed1b232dba8ff
,Oral solution,"Dextrose, Sodium chloride, Glycine, Sodium dihydrogen phosphate, Potassium chloride, Sodium citrate ",Prescription,Interchemie Werken “De Adelaar” B.V.,Bottle,Uncontrolled,Oral,Store below 25°C,"280, 110, 45, 22, 13.50 , 5","Poultry, cattle, calves, goats, sheep",Electrosol oral,,mg/ml,ml,1000,63283c50428ed1b232dba900
,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",Prescription,Interchemie Werken “De Adelaar” B.V.,Bottle,Uncontrolled,Oral,Store below 25°C,****,"Calve, Goat, Sheep, Cattle, Poultry ",Vitol-140 oral,,****,ml,100,63283c50428ed1b232dba901
,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",Prescription,Interchemie Werken “De Adelaar” B.V.,Bottle,Uncontrolled,Oral,Store below 25°C,****,"Calve, Goat, Sheep, Cattle, Poultry ",Vitol-140 oral,,****,ml,1000,63283c50428ed1b232dba902
,solution for injection,Vitamins,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,,Do not store above 30°C,****,Horses,Multivitamin Inj,meat,****,ml,50,63283c50428ed1b232dba903
,solution for injection,Vitamins,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,,Do not store above 30°C,****,Horses,Multivitamin Inj,meat,****,ml,100,63283c50428ed1b232dba904
QJ01CA04,Suspension for injection,Amoxicillin Trihydrate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,,Do not store above 30°C,150,"Cattle, Sheep, Dogs , Cats",Betamoxin Inj,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba905
QM01AG90,solution for injection,Flunixin meglumine,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intravenous (not otherwise specified),Do not store above 30°C,50,"Bovine, Equine ",Flunixvet,meat,mg/ml,ml,50,63283c50428ed1b232dba906
QM01AG90,solution for injection,Flunixin meglumine,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intravenous (not otherwise specified),Do not store above 30°C,50,"Bovine, Equine ",Flunixvet,meat,mg/ml,ml,100,63283c50428ed1b232dba907
QM01AG02,solution for injection,Tolfenamic acid,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,40,Cattle,Tolfine,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba908
QM01AG02,solution for injection,Tolfenamic acid,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,40,Cattle,Tolfine,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba909
QM01AA01,solution for injection,Phenylbutazone,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,200,"Horse , Dog",Phenylarthrite,,mg/ml,ml,100,63283c50428ed1b232dba90a
QJ01MA93,solution for injection,Marbofloxacin,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,20,Cattle ,Marbocyl 2% ,meat,mg/ml,ml,100,63283c50428ed1b232dba90b
,solution for injection,"Vitamin B1, Vitamin B6",Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,"44.59, 20.57","Cattle, Sheep, Goat, Dogs ",Corebral,,mg/ml,ml,50,63283c50428ed1b232dba90c
QJ01AA06,solution for injection,Oxytetracycline hydrochloride,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intravenous (not otherwise specified),Do not store above 30°C,50,"cattle, sheep, horses, dogs , cats",Oxy SAV 5% ,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba90d
QJ01AA06,solution for injection,Oxytetracycline hydrochloride,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intramuscular,Do not store above 30°C,100,Cattle and sheep,Oxy SAV 10% ,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba90e
QJ01AA06,solution for injection,Oxytetracycline hydrochloride,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intramuscular,Do not store above 30°C,100,Cattle and sheep,Oxy SAV 10% ,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba90f
QJ01XQ01,Oral solution,Tiamulin,Prescription,Chemifarma S.P.A.,Bottle,Uncontrolled,Oral,Do not store above 30°C,100,Broiler ,Tiamulina 10%,meat,mg/ml,ml,1000,63283c50428ed1b232dba910
QN02BB02,solution for injection,Dipyrone (Metamizole),Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Do not store above 30°C,500,"Horses, dogs, cats",Calmagine,,mg/ml,ml,100,63283c50428ed1b232dba911
,Cutaneous spray,Aluminum,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Topical,Store below 25°C,0.25,"Dogs, Cats, Cattle, Horse, Poultry",Aluspray,,g/g,ml,210,63283c50428ed1b232dba912
QP51AX22,solution for injection,Buparvaquone,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,,Do not store above 30°C,50,Cattle,Butex,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba913
QP51AX22,solution for injection,Buparvaquone,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,,Do not store above 30°C,50,Cattle,Butex,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba914
,Oral powder,Sulphadimidine Sodium ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Do not store above 30°C,1000,"Cattle, Chickens,Turkeys",Sulfadine ,meat,mg/g  ,g,100,63283c50428ed1b232dba915
,Oral powder,Sulphadimidine Sodium ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Do not store above 30°C,1000,"Cattle, Chickens,Turkeys",Sulfadine ,meat,mg/g  ,g,1000,63283c50428ed1b232dba916
,Oral powder,Sulphadimidine Sodium ,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Do not store above 30°C,1000,"Cattle, Chickens,Turkeys",Sulfadine ,meat,mg/g  ,g,500,63283c50428ed1b232dba917
QJ01CA04,solution for injection,Amoxicillin Trihydrate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Do not store above 25°C,150,"Cattle, Sheep , Dogs",Amoxycure - LA,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba918
QJ01CA04,solution for injection,Amoxicillin Trihydrate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Do not store above 25°C,150,"Cattle, Sheep , Dogs",Amoxycure - LA,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba919
QJ01CA04,solution for injection,Amoxicillin Trihydrate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Do not store above 25°C,150,"Cattle, Sheep , Dogs",Amoxycure - LA,"meat, milk",mg/ml,ml,250,63283c50428ed1b232dba91a
,solution for injection,Vitamins,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 30°C,****,"Cattle, Sheep, Goats",Vitaljek,****,****,ml,100,63283c50428ed1b232dba91b
QJ01FA91,Oral solution,Tilmicosin phosphate,Prescription,Provet veterinary product Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Chicken , Turkey",Tilmicos,meat,mg/ml,ml,250,63283c50428ed1b232dba91c
QG02AD90,solution for injection,Cloprostenol sodium,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,250,"Cattle, Horse",Minoprost,meat,µg/ml,ml,10,63283c50428ed1b232dba91d
QG02AD90,solution for injection,Cloprostenol sodium,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,250,"Cattle, Horse",Minoprost,meat,µg/ml,ml,20,63283c50428ed1b232dba91e
QH01BB02,solution for injection,Oxytocin acetate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,0.018,"Cattle, Horses, Sheep, Goats, Cats , Dogs",Provet- Oxytocin ,,mg/ml,ml,10,63283c50428ed1b232dba91f
QH01BB02,solution for injection,Oxytocin acetate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,0.018,"Cattle, Horses, Sheep, Goats, Cats , Dogs",Provet- Oxytocin ,,mg/ml,ml,25,63283c50428ed1b232dba920
QH01BB02,solution for injection,Oxytocin acetate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,0.018,"Cattle, Horses, Sheep, Goats, Cats , Dogs",Provet- Oxytocin ,,mg/ml,ml,50,63283c50428ed1b232dba921
QH01BB02,solution for injection,Oxytocin acetate,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,,Store below 25°C,0.018,"Cattle, Horses, Sheep, Goats, Cats , Dogs",Provet- Oxytocin ,,mg/ml,ml,100,63283c50428ed1b232dba922
QM01AG90,solution for injection,Flunixine meglumine,Prescription,Provet veterinary product Ltd,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,50,"Cattle, Horses",Inflamex  ,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba923
QN02BB02,solution for injection,Metamizole sodium,Prescription,Richter Pharma A.G.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,50,"Horses , dogs  ",Novasul,,mg/ml,ml,100,63283c50428ed1b232dba924
QM01AE03 ,solution for injection,Ketoprofen,Prescription,Richter Pharma A.G.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,100,"Horses, Cattle",Rifen,Meat,mg/ml,ml,100,63283c50428ed1b232dba925
QG02BA03,Vaginal delivery system,Progesterone,Prescription,DEC International ( NZ ) Ltd.,Applicator,Uncontrolled,Vaginal,Store below 30°C,1.9,Cattle,Eazi-breed CIDAR 1900 insert ,,g,,10,63283c50428ed1b232dba926
QJ01GA90,Suspension for injection,"Procaine benzylpenicillin, Dihydrostreptomycin sulphate",Prescription,KELA LABORATORIA,Vial,Uncontrolled,,Store in a refrigerator (2°C – 8°C),"200, 200","Camel, Cattle, Horse, Sheep, Goat, Cat, Dog",Pendistrep 20 / 20,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba927
,solution for injection,Phenylbutazone,Prescription,Alfasan International BV,Vial,Uncontrolled,Intravenous (not otherwise specified),Store in a refrigerator (2°C – 8°C),200,"Horses, Ponies , Dogs",Phenylbutazone 20 %,,mg/ml,ml,100,63283c50428ed1b232dba928
QP54AA02,solution for injection,Abamectin,Prescription,Jurox Pty Limited,Vial,Uncontrolled,,Store below 30°C,10,Cattle,Paramectin Injection,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba929
QP54AA02,solution for injection,Abamectin,Prescription,Jurox Pty Limited,Vial,Uncontrolled,,Store below 30°C,10,Cattle,Paramectin Injection,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba92a
QG02AD90,solution for injection,Cloprostenol Sodium,Prescription,Jurox Pty Limited,Vial,Uncontrolled,,Store below 25°C,263,"Bovine , Horse",Juramate Synthetic Prostaglandin ,Meat,µg/ml,ml,20,63283c50428ed1b232dba92b
QG02AD90,solution for injection,Cloprostenol Sodium,Prescription,Jurox Pty Limited,Vial,Uncontrolled,,Store below 25°C,263,"Bovine , Horse",Juramate Synthetic Prostaglandin ,Meat,µg/ml,ml,100,63283c50428ed1b232dba92c
QJ01GB03,solution for injection,Gentamicin Sulphate ,Prescription,"Laboratorio Farmacologico Super's Diana S.L.",vial,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,0.06,"Horse , Dog , and Cat",Gendian 600,,mg/ml,ml,100,63283c50428ed1b232dba92d
QG02AD90,solution for injection,Cloprostenol Sodium ,Prescription,Bioveta A.S.,Vial,Uncontrolled,,Store below 30°C,0.075,Cattle ,Estropur inj.ad us .vet.,"meat, milk",mg/ml,ml,2,63283c50428ed1b232dba92e
QG02AD90,solution for injection,Cloprostenol Sodium ,Prescription,Bioveta A.S.,Vial,Uncontrolled,,Store below 30°C,0.075,Cattle ,Estropur inj.ad us .vet.,"meat, milk",mg/ml,ml,10,63283c50428ed1b232dba92f
QJ01AA06,solution for injection,Oxytetracycline dihydarte,Prescription,Ceva Santè animale,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep , Goats.  ",Tenaline 20 % LA ,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba930
QJ01AA06,solution for injection,Oxytetracycline dihydarte,Prescription,Ceva Santè animale,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep , Goats.  ",Tenaline 20 % LA ,"meat, milk",mg/ml,ml,250,63283c50428ed1b232dba931
QJ01AA06,solution for injection,Oxytetracycline dihydarte,Prescription,Ceva Santè animale,Vial,Uncontrolled,Intramuscular,Store below 25°C,200,"Cattle, Sheep , Goats.  ",Tenaline 20 % LA ,"meat, milk",mg/ml,ml,500,63283c50428ed1b232dba932
,Oral suspension,"Levamisole Hydrochloride, Oxyclozanide",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,"30,60","Cattle ,  Sheep",Oxymisole Plus  ,"meat, milk",mg/ml,ml,500,63283c50428ed1b232dba933
,Oral suspension,"Levamisole Hydrochloride, Oxyclozanide",Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,"30,60","Cattle ,  Sheep",Oxymisole Plus  ,"meat, milk",mg/ml,ml,1000,63283c50428ed1b232dba934
QJ01MA93,solution for injection,Marbofloxacin,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,100,Cattle,Marbocyl 10%,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba935
QJ01MA93,solution for injection,Marbofloxacin,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,100,Cattle,Marbocyl 10%,"meat, milk",mg/ml,ml,250,63283c50428ed1b232dba936
QJ01MA93,solution for injection,Marbofloxacin,Prescription,Vetoquinol S.A.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,100,Cattle,Marbocyl 10%,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba937
,Oral powder,"Lincomycine, Spectinomycin",Prescription,KELA LABORATORIA,jar,Uncontrolled,Oral,Store below 25°C,"222, 444",Poultry,Spectoliphen 100,Meat,mg/g  ,g,150,63283c50428ed1b232dba938
,Oral powder,"Lincomycine, Spectinomycin",Prescription,KELA LABORATORIA,jar,Uncontrolled,Oral,Store below 25°C,"222, 444",Poultry,Spectoliphen 100,Meat,mg/g  ,g,1500,63283c50428ed1b232dba939
QA12CX99,Oral solution,Minerals,Prescription,Laboratories Biove,Bottle,Uncontrolled,Oral,Store below 25°C,,"Cattle, Horse, Sheep, Goat, Poultry",Mineral TS,,,ml,1000,63283c50428ed1b232dba93a
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Aluminum Bottle  ,,g/l,ml,100,63283c50428ed1b232dba93b
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Aluminum Bottle  ,,g/l,ml,250,63283c50428ed1b232dba93c
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Aluminum Bottle  ,,g/l,ml,500,63283c50428ed1b232dba93d
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Aluminum Bottle  ,,g/l,ml,1000,63283c50428ed1b232dba93e
QP53AF ,Concentrate for dip emulsion,Diazinon,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,600,Sheep ,Diacidol 60 %,Meat,g/l,ml,100,63283c50428ed1b232dba93f
QP53AF ,Concentrate for dip emulsion,Diazinon,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,600,Sheep ,Diacidol 60 %,Meat,g/l,ml,250,63283c50428ed1b232dba940
QP53AF ,Concentrate for dip emulsion,Diazinon,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,600,Sheep ,Diacidol 60 %,Meat,g/l,ml,500,63283c50428ed1b232dba941
QP53AF ,Concentrate for dip emulsion,Diazinon,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,600,Sheep ,Diacidol 60 %,Meat,g/l,ml,1000,63283c50428ed1b232dba942
QP52AC11,Oral suspension,Albendazole,Prescription,Industrial Veterinaria S.A. (INVESA),Bottle,Uncontrolled,Oral,Store below 30°C,100,Cattle  ,Albendazol 10% Ganadexil,"meat, milk",mg/ml,ml,1000,63283c50428ed1b232dba943
QP52AC11,Oral suspension,Albendazole,Prescription,Industrial Veterinaria S.A. (INVESA),Bottle,Uncontrolled,Oral,Store below 30°C,25,"Sheep , Goats",Albendazole 2.5% Ganadexil,Meat,mg/ml,ml,1000,63283c50428ed1b232dba944
QP52AC13,Oral suspension,Fenbendazole,Prescription,Univet Limited,Bottle,Uncontrolled,Oral,Store below 30°C,25,Sheep,Curazole 2.5% ,Meat,mg/ml,ml,1000,63283c50428ed1b232dba945
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Plastic Bottle ,,g/l,ml,100,63283c50428ed1b232dba946
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Plastic Bottle ,,g/l,ml,250,63283c50428ed1b232dba947
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Plastic Bottle ,,g/l,ml,500,63283c50428ed1b232dba948
QP53AD01,Concentrate for dip emulsion,Amitraz,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Topical,Store below 25°C,200,Dogs ,Amiraz 20 % - Plastic Bottle ,,g/l,ml,1000,63283c50428ed1b232dba949
